location_name,address_line_1,city,state,postcode
"Lvl 1, 5 and 11, 10 Barrack Street, Sydney",10 Barrack St,SYDNEY,NSW,2000
"Suite 1, Level 10, 350 Queen Street, Melbourne",350 Queen St,Melbourne,VIC,3000
Castelreagh,Level 5 245 Castelreagh St,SYDNEY,NSW,2000
"Level 7, 245-247 Castlereagh St Sydney NSW 2000",245-247 Castlereagh St,Sydney,NSW,2000
"Lvl 1, 12 Butler Road - Hurstville",12 Butler Rd,Hurstville,NSW,2221
"Lvls 1 & 2, 245-247 Castlereagh Street - Sydney",245 Castlereagh St,SYDNEY,NSW,2000
"Suite 1, Lvl 4, 68 Grenfell St - Adelaide",68 Grenfell St,ADELAIDE,SA,5000
Brisbane Campus - Level 11 333 Adelaide St BRISBANE CITY QLD 4000,Level 11 333 Adelaide St,BRISBANE CITY,QLD,4000
Brisbane Campus - Level 12 333 Adelaide St BRISBANE CITY QLD 4000,Level 12 - 333 Adelaide St,BRISBANE CITY,QLD,4000
"Level 2 & 6, 401 Sussex St, Sydney",401 Sussex St,SYDNEY,NSW,2000
SBTA and SELA - 187 Thomas St HAYMARKET NSW 2000,Level 7 - 187 Thomas Street,Haymarket,NSW,2000
SBTA Commercial Kitchens - 81A Foveaux St SURRY HILLS NSW 2010,81A Foveaux St,SURRY HILLS,NSW,2010
Surfers Paradise,3059 Surfers Paradise Bvd,SURFERS PARADISE,QLD,4217
